,t1_win
t2p3_totalDamageDealt,-0.17742180656143208
t2p3_totalDamageDealtToChampions,-0.18245978759172723
t2p3_totalDamageTaken,0.07071828055698973
t2p3_totalHeal,-0.14849328667192374
t2p3_totalMinionsKilled,-0.09881351964906326
t2p3_totalTimeCrowdControlDealt,-0.046615668225055626
t2p3_trueDamageDealt,-0.03808088197170745
t2p3_trueDamageDealtToChampions,-0.04086986048458539
t2p3_trueDamageTaken,0.004629724687729908
t2p3_visionScore,-0.14163245156589926
t2p3_wardsKilled,-0.08864575375590165
t2p3_wardsPlaced,-0.048719877626759285
t2p4_assists,-0.39572420538533826
t2p4_ban_champId,-0.001830242783503386
t2p4_champId,0.024303140676102696
t2p4_champLevel,-0.3092840142074145
t2p4_damageDealtToObjectives,-0.5374021255351076
t2p4_damageDealtToTurrets,-0.48326482251976394
t2p4_damageSelfMitigated,-0.041155536962920784
t2p4_deaths,0.4591633680572519
t2p4_goldEarned,-0.3182644266073603
t2p4_item0,-0.027644867338574408
t2p4_item1,-0.03949693583263599
t2p4_item2,-0.053021570171191315
t2p4_item3,-0.10487281308626512
t2p4_item4,-0.1146130449659649
t2p4_item5,-0.1229763845367212
t2p4_item6,-0.026756332166922886
t2p4_kills,-0.3653565565278418
t2p4_lp,-0.0590300262480903
t2p4_magicDamageDealt,-0.10001525128109141
t2p4_magicDamageDealtToChampions,-0.08814426749989086
t2p4_magicalDamageTaken,0.09835544352180214
t2p4_min10_creeps,-0.02351609893363484
t2p4_min10_damagetaken,0.05748821635130437
t2p4_min10_gold,-0.27070318543669103
t2p4_min10_xp,-0.22864258839625612
t2p4_min15_creeps,-0.02357280609023367
t2p4_min15_damagetaken,0.03544078737334773
t2p4_min15_gold,-0.23874311742987517
t2p4_min15_xp,-0.21128796638593936
t2p4_neutralMinionsKilled,-0.26410602696305474
t2p4_perk0,-0.005041704558032656
t2p4_perk1,0.013087799370626286
t2p4_perk2,0.019957743704485467
t2p4_perk3,0.008550650576890728
t2p4_perk4,-0.007741134515131569
t2p4_perk5,-0.009187521456310358
t2p4_perkPrimaryStyle,-0.008085116841690436
